t_us, Position.x, Position.y, Height, Heading, Velocity.x, Velocity.y, u_vx, u_vy, Omega.z, u_x, u_y, u_yaw, m1, m2, m3, m4
3985995,0.000,0.000,0.033,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,120,120,120,120
3993928,0.000,0.000,0.032,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,120,120,120,120
4001861,0.000,0.000,0.031,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,120,120,120,120
4009793,0.000,0.000,0.031,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,120,120,120,120
4017726,0.000,0.000,0.031,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,120,120,120,120
4025660,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,120,120,120,120
4033594,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,120,120,120,120
4041528,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,120,120,120,120
4049461,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,120,120,120,120
4060867,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,120,120,120,120
4065319,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,120,120,120,120
4073257,0.000,0.000,0.033,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,120,120,120,120
4081195,0.000,0.000,0.035,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,120,120,120,120
4089126,0.000,0.000,0.034,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,120,120,120,120
4097057,0.000,0.000,0.036,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,120,120,120,120
4104989,0.000,0.000,0.034,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,120,120,120,120
4112920,0.000,0.000,0.033,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,120,120,120,120
4120855,0.000,0.000,0.032,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,120,120,120,120
4128786,0.000,0.000,0.031,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,120,120,120,120
4136720,0.000,0.000,0.031,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,120,120,120,120
4144652,0.000,0.000,0.031,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,120,120,120,120
4152585,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,120,120,120,120
4160513,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,120,120,120,120
4168453,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,120,120,120,120
4176382,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,120,120,120,120
4184318,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,120,120,120,120
4192252,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,120,120,120,120
4200184,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,120,120,120,120
4208116,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,120,120,120,120
4216049,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,120,120,120,120
4223981,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,120,120,120,120
4231915,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,120,120,120,120
4239849,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,120,120,120,120
4247781,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,120,120,120,120
4255714,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,120,120,120,120
4263649,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,120,120,120,120
4271581,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,120,120,120,120
4279514,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,120,120,120,120
4287448,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,120,120,120,120
4295380,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,120,120,120,120
4303315,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,120,120,120,120
4311245,0.000,0.000,0.030,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.000,120,120,120,120
