t_us, Height, Velocity.x, Velocity.y, OF_raw_x, OF_raw_y, Omega.x, Omega.y, Omega.z, Acc.x, Acc.y, Acc.z
3723239,0.005,-0.000,-0.000,0.000,0.000,-0.016,0.002,-0.001,-0.217,0.107,9.852
3731196,0.004,-0.000,-0.000,0.000,0.000,-0.017,0.003,-0.000,-0.211,0.097,9.856
3739136,0.005,-0.000,-0.000,0.000,0.000,-0.016,0.003,-0.001,-0.230,0.107,9.837
3747094,0.004,-0.000,-0.000,0.000,0.000,-0.016,0.003,-0.001,-0.228,0.091,9.844
3755038,0.003,-0.000,-0.000,0.000,0.000,-0.016,0.003,-0.001,-0.219,0.094,9.846
3762988,0.008,-0.000,-0.000,0.000,0.000,-0.017,0.003,-0.001,-0.225,0.107,9.843
3770935,0.012,-0.000,-0.000,0.000,0.000,-0.016,0.003,-0.001,-0.224,0.102,9.830
3778883,0.011,-0.000,-0.000,0.000,0.000,-0.016,0.003,-0.001,-0.233,0.105,9.835
3786831,0.008,-0.000,-0.000,0.000,0.000,-0.016,0.003,-0.002,-0.230,0.119,9.842
3794780,0.005,-0.000,-0.000,0.000,0.000,-0.016,0.003,-0.002,-0.217,0.105,9.828
3802731,0.004,-0.000,-0.000,0.000,0.000,-0.016,0.004,-0.001,-0.214,0.090,9.834
3810678,0.006,-0.000,-0.000,0.000,0.000,-0.016,0.003,-0.001,-0.227,0.094,9.834
3818627,0.004,-0.000,-0.000,0.000,0.000,-0.015,0.003,-0.000,-0.230,0.088,9.832
3826577,0.003,-0.000,-0.000,0.000,0.000,-0.015,0.003,0.000,-0.223,0.083,9.840
3834526,0.002,-0.000,-0.000,0.000,0.000,-0.016,0.003,-0.000,-0.234,0.095,9.859
3842461,0.001,-0.000,-0.000,0.000,0.000,-0.016,0.003,-0.000,-0.239,0.089,9.834
3850422,0.004,-0.000,-0.000,0.000,0.000,-0.015,0.002,-0.001,-0.242,0.093,9.816
3858375,0.006,-0.000,-0.000,0.000,0.000,-0.015,0.003,-0.001,-0.233,0.085,9.852
3866319,0.007,-0.000,-0.000,0.000,0.000,-0.016,0.002,-0.000,-0.226,0.089,9.851
3874268,0.005,-0.000,-0.000,0.000,0.000,-0.016,0.003,-0.002,-0.238,0.109,9.853
3882220,0.003,-0.000,-0.000,0.000,0.000,-0.017,0.003,-0.001,-0.225,0.091,9.850
3890167,0.002,-0.000,-0.000,0.000,0.000,-0.015,0.003,-0.002,-0.245,0.100,9.835
3898120,0.005,-0.000,-0.000,0.000,0.000,-0.016,0.003,-0.002,-0.244,0.091,9.866
3906063,0.003,-0.000,-0.000,0.000,0.000,-0.016,0.003,-0.002,-0.237,0.090,9.858
3914012,0.008,0.000,0.000,0.002,0.002,-0.017,0.004,-0.002,-0.229,0.087,9.867
3921960,0.009,0.001,0.001,0.003,0.003,-0.017,0.003,-0.002,-0.232,0.085,9.832
3929910,0.006,0.001,0.001,0.000,0.000,-0.016,0.003,-0.002,-0.230,0.079,9.837
3937853,0.004,0.001,0.001,0.000,0.000,-0.017,0.003,-0.002,-0.236,0.079,9.844
3945806,0.006,0.001,0.001,0.000,0.000,-0.016,0.002,-0.002,-0.233,0.079,9.835
3953756,0.007,0.000,0.000,0.000,0.000,-0.016,0.002,-0.002,-0.233,0.086,9.859
3961704,0.011,0.000,0.000,0.000,0.000,-0.016,0.003,-0.002,-0.229,0.089,9.862
3969653,0.014,0.000,0.000,0.000,0.000,-0.016,0.004,-0.002,-0.213,0.081,9.849
3977602,0.010,0.000,0.000,0.000,0.000,-0.016,0.004,-0.002,-0.226,0.103,9.840
3985555,0.010,0.000,0.000,0.000,0.000,-0.016,0.004,-0.002,-0.212,0.082,9.839
3993503,0.013,0.000,0.000,0.000,0.000,-0.016,0.004,-0.002,-0.233,0.093,9.840
4001446,0.015,0.000,0.000,0.000,0.000,-0.016,0.004,-0.002,-0.229,0.091,9.845
4009395,0.013,0.000,0.000,0.000,0.000,-0.016,0.003,-0.002,-0.235,0.087,9.834
4017341,0.012,0.000,0.000,0.000,0.000,-0.017,0.003,-0.002,-0.235,0.083,9.858
4025292,0.012,0.000,0.000,0.000,0.000,-0.017,0.003,-0.002,-0.231,0.089,9.861
4033239,0.008,0.000,0.000,0.000,0.000,-0.016,0.004,-0.003,-0.240,0.103,9.850
4041189,0.006,0.000,0.000,0.000,0.000,-0.015,0.004,-0.002,-0.233,0.096,9.837
4049133,0.007,0.000,0.000,0.000,0.000,-0.015,0.005,-0.002,-0.253,0.107,9.847
4060672,0.005,0.000,0.000,0.000,0.000,-0.015,0.004,-0.002,-0.232,0.100,9.838
4065037,0.006,0.000,0.000,0.000,0.000,-0.015,0.004,-0.001,-0.234,0.104,9.849
4072981,0.008,0.000,0.000,0.000,0.000,-0.015,0.004,-0.002,-0.236,0.106,9.841
4080929,0.008,0.000,0.000,0.000,0.000,-0.016,0.003,-0.002,-0.219,0.102,9.857
4088882,0.006,0.000,0.000,0.000,0.000,-0.016,0.003,-0.002,-0.220,0.094,9.842
4096830,0.004,0.000,0.000,0.000,0.000,-0.017,0.003,-0.001,-0.221,0.095,9.848
4104773,0.009,0.000,0.000,0.000,0.000,-0.017,0.003,-0.001,-0.224,0.096,9.844
4112724,0.009,0.000,0.000,0.000,0.000,-0.017,0.003,-0.001,-0.216,0.087,9.831
4120669,0.006,0.000,0.000,0.000,0.000,-0.017,0.003,-0.000,-0.213,0.080,9.849
4128606,0.004,0.000,0.000,0.000,0.000,-0.017,0.004,-0.000,-0.212,0.097,9.826
4136555,0.003,0.000,0.000,0.000,0.000,-0.016,0.004,-0.000,-0.210,0.099,9.827
4144503,0.002,0.000,0.000,0.000,0.000,-0.016,0.004,-0.001,-0.208,0.104,9.830
4152461,0.005,0.000,0.000,0.000,0.000,-0.017,0.003,-0.001,-0.205,0.101,9.840
4160413,0.003,0.000,0.000,0.000,0.000,-0.016,0.004,-0.001,-0.202,0.101,9.832
4168364,0.008,0.000,0.000,0.000,0.000,-0.016,0.004,-0.001,-0.211,0.098,9.833
4176308,0.012,0.000,0.000,0.000,0.000,-0.017,0.004,-0.002,-0.216,0.100,9.853
4184253,0.011,0.000,0.000,0.000,0.000,-0.018,0.004,-0.002,-0.224,0.103,9.850
4192204,0.011,0.000,0.000,0.000,0.000,-0.018,0.004,-0.002,-0.211,0.097,9.846
4200152,0.011,0.000,0.000,0.000,0.000,-0.017,0.004,-0.002,-0.220,0.093,9.832
4208100,0.013,0.000,0.000,0.000,0.000,-0.017,0.003,-0.001,-0.202,0.077,9.813
4216049,0.012,0.000,0.000,0.000,0.000,-0.017,0.003,-0.001,-0.207,0.088,9.839
4224000,0.012,0.000,-0.000,0.000,-0.003,-0.017,0.003,-0.001,-0.213,0.091,9.839
4231943,0.011,0.000,-0.000,0.000,0.000,-0.017,0.003,-0.002,-0.234,0.102,9.839
4239891,0.011,0.000,-0.000,0.000,0.000,-0.016,0.003,-0.002,-0.242,0.092,9.839
4247840,0.011,0.000,-0.000,0.000,0.000,-0.016,0.004,-0.002,-0.235,0.086,9.856
4255788,0.010,0.000,-0.000,0.000,0.000,-0.016,0.004,-0.002,-0.236,0.088,9.856
4263736,0.007,0.000,-0.000,0.000,0.000,-0.017,0.004,-0.001,-0.239,0.081,9.843
4271686,0.008,0.000,-0.000,0.000,0.000,-0.016,0.004,-0.001,-0.257,0.084,9.836
4279633,0.006,0.000,-0.000,0.000,0.000,-0.017,0.004,-0.001,-0.260,0.087,9.854
4287586,0.007,0.000,-0.000,0.000,0.000,-0.017,0.003,-0.001,-0.243,0.082,9.832
4295535,0.011,0.000,-0.000,0.000,0.000,-0.016,0.003,-0.001,-0.245,0.096,9.838
4303476,0.014,0.000,-0.000,0.004,0.000,-0.016,0.004,-0.001,-0.235,0.081,9.850
4311422,0.016,0.001,0.001,0.005,0.007,-0.017,0.004,-0.000,-0.238,0.084,9.853
4319371,0.017,0.001,0.001,0.000,0.000,-0.016,0.003,0.000,-0.230,0.087,9.837
4327319,0.015,0.001,0.001,0.000,0.000,-0.016,0.003,-0.000,-0.241,0.105,9.841
4335266,0.013,0.001,0.001,0.000,0.000,-0.017,0.003,-0.000,-0.231,0.102,9.862
4343215,0.009,0.001,0.001,-0.003,0.000,-0.016,0.004,0.000,-0.219,0.100,9.846
4351163,0.007,0.000,0.001,0.000,0.000,-0.018,0.004,-0.000,-0.227,0.104,9.870
4359103,0.005,0.000,0.000,-0.001,-0.001,-0.018,0.004,-0.001,-0.232,0.105,9.860
4367061,0.006,-0.000,0.000,0.000,0.000,-0.017,0.004,-0.001,-0.225,0.097,9.834
4375006,0.010,-0.000,0.000,0.000,0.000,-0.017,0.003,-0.000,-0.219,0.083,9.836
4382953,0.016,0.000,0.000,0.007,0.000,-0.017,0.003,-0.002,-0.252,0.106,9.835
4390903,0.017,0.001,0.000,0.000,0.000,-0.016,0.004,-0.002,-0.257,0.100,9.828
4398850,0.015,0.001,0.000,0.000,0.000,-0.017,0.004,-0.002,-0.246,0.087,9.837
4406800,0.011,0.001,0.000,0.000,0.000,-0.016,0.004,-0.002,-0.232,0.081,9.818
4414745,0.013,0.001,0.000,0.000,0.000,-0.016,0.003,-0.001,-0.231,0.087,9.822
4422692,0.018,0.001,-0.000,0.000,0.000,-0.016,0.003,-0.002,-0.243,0.097,9.839
4430639,0.019,0.001,-0.000,0.005,0.000,-0.017,0.003,-0.002,-0.253,0.111,9.846
4438589,0.019,0.001,-0.000,0.000,0.000,-0.017,0.003,-0.002,-0.248,0.096,9.828
4446534,0.022,0.001,-0.000,0.000,0.000,-0.015,0.003,-0.002,-0.236,0.095,9.830
4454487,0.022,0.001,-0.000,0.000,0.000,-0.016,0.005,-0.003,-0.246,0.110,9.863
4462431,0.021,0.001,-0.000,0.000,0.000,-0.016,0.004,-0.002,-0.235,0.093,9.843
4470384,0.018,0.001,-0.000,0.000,0.000,-0.016,0.004,-0.002,-0.236,0.093,9.842
4478324,0.018,0.001,-0.000,0.000,0.000,-0.017,0.004,-0.001,-0.229,0.082,9.861
4486273,0.019,0.000,-0.000,0.000,0.000,-0.017,0.004,-0.001,-0.225,0.081,9.850
4494220,0.016,0.000,-0.000,0.000,0.000,-0.016,0.004,-0.001,-0.242,0.092,9.844
4502169,0.011,0.000,-0.000,0.000,0.000,-0.018,0.004,-0.001,-0.248,0.094,9.865
4510115,0.011,0.000,-0.000,0.000,0.000,-0.017,0.004,-0.000,-0.227,0.089,9.827
4518063,0.014,0.000,-0.000,0.000,0.000,-0.016,0.003,-0.001,-0.244,0.112,9.824
4526008,0.013,0.000,-0.000,0.000,0.000,-0.016,0.003,-0.001,-0.233,0.100,9.829
4533954,0.012,0.000,-0.000,0.000,0.000,-0.017,0.003,-0.001,-0.226,0.082,9.838
4541904,0.008,0.000,-0.000,0.000,0.000,-0.016,0.002,-0.001,-0.234,0.089,9.832
4549839,0.006,-0.000,-0.000,-0.002,0.000,-0.017,0.002,-0.001,-0.233,0.080,9.847
4557796,0.007,-0.000,-0.000,0.000,0.000,-0.016,0.002,-0.001,-0.231,0.084,9.845
4565749,0.008,-0.000,-0.000,0.000,0.000,-0.016,0.002,-0.001,-0.241,0.092,9.850
4573692,0.006,-0.000,-0.000,0.000,0.000,-0.017,0.002,-0.002,-0.242,0.086,9.857
4581625,0.004,-0.000,0.000,0.001,0.001,-0.016,0.003,-0.002,-0.231,0.079,9.854
4589573,0.003,-0.000,0.000,0.000,0.000,-0.015,0.003,-0.001,-0.221,0.081,9.839
4597521,0.002,0.000,0.000,0.000,0.000,-0.016,0.003,-0.001,-0.220,0.088,9.856
4605471,0.001,0.000,0.000,0.000,0.000,-0.017,0.003,-0.002,-0.222,0.082,9.871
